SOPInstanceUID,Target
1.2.826.0.1.3680043.8.498.10025629581362719970278200333618114258,0 
1.2.826.0.1.3680043.8.498.10036150326276641158002573300029848125,15 
1.2.826.0.1.3680043.8.498.10038426859954986240523417641213777162,12 
1.2.826.0.1.3680043.8.498.10050991192143676483577217922037244257,14 
1.2.826.0.1.3680043.8.498.10053309524595490852815579052225336016,3 
1.2.826.0.1.3680043.8.498.10053755320637729867508668285241208441,3 
1.2.826.0.1.3680043.8.498.10062189329714053601496804394945741428,14 
1.2.826.0.1.3680043.8.498.10065930002825553435161793347987832017,13 20 
1.2.826.0.1.3680043.8.498.10072001800484199846734151421006166369,3 
1.2.826.0.1.3680043.8.498.10077219503857952412254959562456136784,3 
1.2.826.0.1.3680043.8.498.10080310665124574896848143784790467773,3 
1.2.826.0.1.3680043.8.498.10089082474655893722076446314877509447,14 
1.2.826.0.1.3680043.8.498.10092177056782233773275902757764299181,3 
1.2.826.0.1.3680043.8.498.10093718510761734264315711288650185574,3 
1.2.826.0.1.3680043.8.498.10096016393614468374034446437413983650,5 
1.2.826.0.1.3680043.8.498.10100428214462026127152574418269956037,14 
1.2.826.0.1.3680043.8.498.10105498531842222086756322461334605745,3 
1.2.826.0.1.3680043.8.498.10107388868056003719871837223999138217,0 
1.2.826.0.1.3680043.8.498.10121269997000927609159070327294073193,17 
1.2.826.0.1.3680043.8.498.10135999234351484423175004915526548194,2 
1.2.826.0.1.3680043.8.498.10144276773552601236124857108161469299,3 
1.2.826.0.1.3680043.8.498.10151099395979621308892699787301311930,3 
1.2.826.0.1.3680043.8.498.10159498614160056038769051549755437120,6 
1.2.826.0.1.3680043.8.498.10166555243811009418614649510306269973,9 21 
1.2.826.0.1.3680043.8.498.10173439720612301112674835163646895687,3 
1.2.826.0.1.3680043.8.498.10181745787571911943303632087715815151,0 
1.2.826.0.1.3680043.8.498.10184934709444914820743565430950640871,3 
1.2.826.0.1.3680043.8.498.10189313814635816234380943860311008812,14 
1.2.826.0.1.3680043.8.498.10198430461266745202512594604169103582,3 
1.2.826.0.1.3680043.8.498.10207698807499447804150248374883288383,3 
1.2.826.0.1.3680043.8.498.10223562747252542050013124843498019558,9 
1.2.826.0.1.3680043.8.498.10225820367742068431909238023361869742,16 
1.2.826.0.1.3680043.8.498.10229701585590529671513310166835241727,6 
